,Price,Km,Power,Year,Gas,Transmission,URL
0,15.450,199.000,120,2018,Diesel,Automatik,/angebote/volkswagen-passat-variant-1-6-tdi-dsg-comfortline-r-line-eu6-diesel-braun-22d12ebb-dab0-4070-895f-2602a9bbadde
1,25.750,29.327,150,2020,Benzin,Automatik,/angebote/volkswagen-passat-variant-1-5-tsi-business-navi-led-pdc-benzin-silber-aee2f6ff-3fb0-4a26-9396-f286445991a7
2,22.970,128.950,218,2018,Elektro/Benzin,-,/angebote/volkswagen-passat-variant-gte-1-4-tsi-plug-in-hybrid-dsg-elektro-benzin-weiss-df69f106-0936-4c0d-8a99-3de654449482
3,16.980,73.827,120,2018,Diesel,Schaltgetriebe,/angebote/volkswagen-passat-variant-1-6-tdi-navi-fronta-shzg-pdc-acc-diesel-blau-83799fe1-4b41-4a35-8ab7-76474d3aeb6f
4,26.880,29.817,156,2020,Elektro/Benzin,-,/angebote/volkswagen-passat-variant-1-4-tsi-gte-dsg-navi-r-kamera-led-acc-klima-elektro-benzin-weiss-776786bf-1259-4799-8df1-70b69bc59d64
5,39.477,12.054,218,2020,Elektro/Benzin,-,/angebote/volkswagen-passat-variant-1-4tsi-dsg-gte-ledersitze-headup-ahk-stdhzg-nav-elektro-benzin-schwarz-e42fc37c-7d69-4341-99b1-a739b8cb7ef4
6,14.500,148.150,150,2016,Diesel,Automatik,/angebote/volkswagen-passat-variant-comfortline-diesel-schwarz-12295119-08d1-447e-9baf-29765487fbf7
7,19.500,79.000,150,2016,Diesel,Automatik,/angebote/volkswagen-passat-variant-passat-variant-2-0-tdi-dsg-bmt-r-line-interieur-diesel-silber-f29af0f4-af3d-4789-a2c7-a3cf4db6f6ce
8,18.500,105.000,150,2017,Diesel,Automatik,/angebote/volkswagen-passat-variant-2-0-tdi-dsg-bluemotion-technology-highline-diesel-grau-ba228eba-dd3b-4d1c-b4ec-9931babc641a
9,18.399,119.990,150,2017,Diesel,Schaltgetriebe,/angebote/volkswagen-passat-variant-2-0-tdi-highline-navi-acc-ahk-led-diesel-schwarz-cd1f56d4-e13d-4466-b666-5875dc95a903
10,22.900,113.800,239,2017,Diesel,Automatik,/angebote/volkswagen-passat-variant-2-0-tdi-scr-4motion-dsg-bmt-highline-diesel-schwarz-f1116a85-32e9-4c6e-91a0-c983e501b492
11,22.999,65.140,150,2017,Diesel,Schaltgetriebe,/angebote/volkswagen-passat-variant-passat-var-highline-led-vico-navi-rfk-lane-acc-diesel-schwarz-3a1c9749-6156-43c9-b015-cc615fec8784
12,24.499,129.997,239,2018,Diesel,Automatik,/angebote/volkswagen-passat-variant-passat-var-highline-4m-dsg-ahk-led-nav-carp-acc-diesel-grau-a691d285-d0b2-45e2-88c0-70bfb9a8fc4e
13,57.390,9.900,200,2023,Diesel,Automatik,/angebote/volkswagen-passat-variant-2-0-tdi-dsg-elegance-r-line-ahk-diesel-grau-6eb640a5-e430-490c-8bce-22121ac7fdd4
14,30.770,42.600,156,2019,Elektro/Benzin,-,/angebote/volkswagen-passat-variant-gte-1-4-tsi-dsg-acc-massage-led-elektro-benzin-grau-b5eebc34-e6ec-4e3c-a3af-4b8331ab62d8
15,43.000,25.000,156,2021,Elektro/Benzin,-,/angebote/volkswagen-passat-variant-passat-gte-variant-acc-dcc-iq-light-ahk-elektro-benzin-weiss-cdc6aaca-0bd4-4d4d-97dc-4b602905bdae
16,20.780,86.684,150,2018,Diesel,Automatik,/angebote/volkswagen-passat-variant-comfortline-bmt-start-stopp-diesel-grau-c774b9f2-e259-428a-b6a1-2985a63db356
17,17.890,122.400,150,2019,Diesel,Automatik,/angebote/volkswagen-passat-variant-passat-2-0-tdi-dsg-1-hand-led-navi-acc-8fach-diesel-silber-40fbbc79-64ec-4aad-9e57-19a68f81bd9d
18,19.890,108.700,150,2020,Diesel,Automatik,/angebote/volkswagen-passat-variant-passat-2-0-tdi-dsg-1-hand-led-navi-kamera-acc-diesel-rot-cff2b4ad-8c1f-4d44-a4ff-24e1a16a6245
19,32.900,14.000,218,2021,Elektro/Benzin,-,/angebote/volkswagen-passat-variant-gte-elektro-benzin-grau-6f2af218-46f7-4e0a-8829-73e58ad5e529
20,28.990,35.000,150,2021,Diesel,Schaltgetriebe,/angebote/volkswagen-passat-variant-2-0-tdi-scr-variant-diesel-grau-8012d3a8-7676-4bb5-a97b-679119ed4dd7
21,15.900,75.000,120,2017,Diesel,Schaltgetriebe,/angebote/volkswagen-passat-variant-1-6-tdi-bluemotion-technology-comfortline-diesel-grau-01767362-a650-41cd-9550-2d41bc65ba8a
22,19.600,61.600,150,2018,Benzin,Schaltgetriebe,/angebote/volkswagen-passat-variant-passat-variant-1-4-tsi-act-bluemotion-technology-benzin-schwarz-c5609e02-2e15-4e80-b488-92ae2dd30ff2
23,17.300,99.000,150,2018,Diesel,Schaltgetriebe,/angebote/volkswagen-passat-variant-2-0-tdi-bluemotion-technology-comfortline-diesel-schwarz-832e450b-d1cf-43e2-ae39-f65e14483d16
24,25.870,32.874,150,2019,Benzin,Automatik,/angebote/volkswagen-passat-variant-1-5-tsi-dsg-comfortline-fahrerass-benzin-grau-9ba4fc08-4e51-41f9-a4b3-c5517520a125
25,20.950,44.000,150,2019,Diesel,Schaltgetriebe,/angebote/volkswagen-passat-variant-2-0-tdi-trendline-navi-pdc-sh-acc-diesel-grau-02409ac0-73b9-47fa-baa6-22e0b398a9c6
26,18.200,87.111,150,2018,Diesel,Schaltgetriebe,/angebote/volkswagen-passat-variant-2-0-tdi-bmt-comfortline-acc-lm-diesel-silber-eb9b290b-24f4-4c5e-b8b6-12beaead2e98
27,13.500,182.000,150,2016,Diesel,Automatik,/angebote/volkswagen-passat-variant-2-0-tdi-scr-dsg-bluemotion-comfortline-diesel-schwarz-c4651843-69db-4a2d-9142-d9ac75a6f3ec
28,26.870,41.447,190,2019,Diesel,Automatik,/angebote/volkswagen-passat-variant-2-0-tdi-dsg-4-motion-comfortline-diesel-schwarz-9641304e-929c-470d-b0a1-18ff32fe82bd
29,23.470,56.646,150,2019,Diesel,Automatik,/angebote/volkswagen-passat-variant-2-0-tdi-dsg-comfortline-navi-led-diesel-weiss-4f9142c6-c34e-427c-9f10-bc01cbefb21b
30,16.990,139.307,150,2018,Diesel,Automatik,/angebote/volkswagen-passat-variant-comfortline-2-0-tdi-dsg-acc-ahk-diesel-grau-c69a6923-fe10-46ab-9dd7-5fa2d30f6b50
31,17.000,165.000,190,2016,Diesel,Automatik,/angebote/volkswagen-passat-variant-passat-variant-allrad-scr-dsg-bluem-tech-highl-diesel-silber-178f58e8-a976-4e51-a1b0-d29da04e2449
32,20.870,46.004,150,2018,Benzin,Schaltgetriebe,/angebote/volkswagen-passat-variant-1-5-tsi-comfortline-navi-acc-shz-benzin-schwarz-2abdb3e4-e986-4710-af40-0c851a086ece
33,22.170,56.646,150,2019,Diesel,Automatik,/angebote/volkswagen-passat-variant-2-0-tdi-dsg-comfortline-navi-led-diesel-weiss-f5a8ae90-3e09-4af1-a60d-bc54247a2418
34,22.490,62.100,150,2018,Diesel,Automatik,/angebote/volkswagen-passat-variant-tdi-110kw-dsg-comfortline-navi-diesel-schwarz-e5e00cfe-e1b9-4ec0-8fd1-f0d541353208
35,17.990,140.000,190,2017,Diesel,Schaltgetriebe,/angebote/volkswagen-passat-variant-highline-r-line-activdisp-leder-diesel-schwarz-b2d27930-b806-4278-b9c8-6fcf412b8bf0
36,23.490,135.922,190,2019,Diesel,Automatik,/angebote/volkswagen-passat-variant-highline-r-line-2-0-tdi-dsg-acc-diesel-silber-9a3ee575-3900-4869-ad54-f20380ec62bc
37,26.740,55.890,150,2020,Diesel,Automatik,/angebote/volkswagen-passat-variant-2-0-tdi-dsg-business-matrix-vc-pr-diesel-schwarz-a26eac48-7c52-4a13-84d9-805019bd47ed
38,19.998,41.500,150,2017,Diesel,Schaltgetriebe,/angebote/volkswagen-passat-variant-2-0-tdi-acc-navi-led-sitzhzg-diesel-schwarz-cf55743a-0a1f-4a6b-8193-957953e49cfc
39,15.900,132.000,150,2016,Diesel,Automatik,/angebote/volkswagen-passat-variant-2-0-tdi-bluemotion-technology-comfortline-diesel-schwarz-cf1d7fc6-fe09-4abc-8f84-df8f53073177
40,15.900,147.936,150,2017,Diesel,Automatik,/angebote/volkswagen-passat-variant-passat-2-0-tdi-acc-3xac-automatik-navi-euro-6-diesel-grau-919d2933-7d04-4ef2-9492-0fcede5da34c
41,26.670,22.729,150,2020,Diesel,Schaltgetriebe,/angebote/volkswagen-passat-variant-2-0-tdi-business-navi-led-kamera-diesel-silber-91973a4e-e00c-41ee-a029-34984b93ed94
42,18.100,153.350,190,2018,Diesel,Automatik,/angebote/volkswagen-passat-variant-passat-v-comfortl-start-st-led-navi-ahk-acc-diesel-blau-f2d7ccac-96b7-4d3d-a7cf-bbbe51fa82a1
43,19.200,100.185,190,2016,Diesel,Automatik,/angebote/volkswagen-passat-variant-2-0-tdi-scr-dsg-bluem-tech-highline-diesel-schwarz-d158a2db-9974-40d4-847c-8af276444e67
44,23.670,57.447,150,2019,Diesel,Automatik,/angebote/volkswagen-passat-variant-2-0-tdi-dsg-business-navi-led-kam-diesel-grau-7892a0c1-c31c-4857-b3ed-f9046ea13d34
45,18.900,98.000,150,2017,Diesel,Schaltgetriebe,/angebote/volkswagen-passat-variant-passat-variant-2-0-tdi-scr-bluemotion-comfortline-diesel-weiss-071af761-e779-4191-95ba-8ca834c4f296
46,19.970,77.997,150,2018,Diesel,Schaltgetriebe,/angebote/volkswagen-passat-variant-2-0-tdi-comfortline-navi-led-ahk-diesel-grau-454a6a28-baf3-40c4-b449-c1886e90d314
47,28.870,41.119,190,2019,Diesel,Automatik,/angebote/volkswagen-passat-variant-2-0-tdi-dsg-elegance-fahrassisten-diesel-braun-8b64cf8e-3ff0-49a5-9821-81f63d2d97c8
48,16.990,89.000,120,2017,Diesel,Automatik,/angebote/volkswagen-passat-variant-bmt-dsg-led-navi-businessprem-diesel-blau-cf0b796c-bab6-4186-9c49-64a924a31a5d
49,21.000,42.000,125,2018,Benzin,Automatik,/angebote/volkswagen-passat-variant-1-4-tsi-bluemotion-technology-trendline-benzin-grau-bc0bd762-c873-44f0-b6c6-96c822fdd2de
50,21.990,88.082,150,2019,Diesel,Automatik,/angebote/volkswagen-passat-variant-passat-var-business-standhz-ahk-led-kamera-diesel-rot-8162b214-32f6-496a-a656-62524c901f77
51,23.970,50.200,150,2020,Diesel,Automatik,/angebote/volkswagen-passat-variant-comfortline-2-0-tdi-nav-kam-8fach-diesel-schwarz-1113a671-d243-42c8-bf8c-552ce7698198
52,15.290,202.986,190,2017,Diesel,Automatik,/angebote/volkswagen-passat-variant-4m-allrad-navi-ahk-diesel-grau-f2e2ee71-2fea-4331-8079-15157b68e048
53,26.470,16.325,150,2020,Diesel,Schaltgetriebe,/angebote/volkswagen-passat-variant-2-0-tdi-business-navi-led-ahk-kam-diesel-silber-0fcf73b9-462f-4c46-8472-27cc7df6bdf5
54,18.990,112.261,150,2018,Diesel,Automatik,/angebote/volkswagen-passat-variant-comfortline-2-0-tdi-dsg-acc-cam-diesel-schwarz-351dba68-6c15-471c-bcf5-202e04a24b53
55,28.490,96.114,190,2020,Diesel,Automatik,/angebote/volkswagen-passat-variant-business-2-0-tdi-dsg-4motion-aid-diesel-grau-cd98f62e-346b-4a78-bbd0-ca52b03d4a00
56,19.500,142.000,190,2016,Diesel,Automatik,/angebote/volkswagen-passat-variant-passat-variant-2-0-tdi-scr-4motion-dsg-bmt-comfo-diesel-silber-2092a6b5-7884-46fc-9897-f2d4e55d13af
57,23.450,42.000,122,2022,Diesel,Automatik,/angebote/volkswagen-passat-variant-2-0-tdi-top-ausstattung-r-line-diesel-blau-f7266090-ec93-436d-bc85-37b59005628b
58,24.470,38.382,150,2020,Benzin,Schaltgetriebe,/angebote/volkswagen-passat-variant-1-5-tsi-navi-led-kamera-acc-shz-p-benzin-grau-d0d1cc4d-02f2-4740-be19-306fc317e8b1
59,22.170,46.004,150,2018,Benzin,Schaltgetriebe,/angebote/volkswagen-passat-variant-1-5-tsi-comfortline-navi-ahk-acc-benzin-schwarz-1d4174b9-a198-471f-9a27-38ce3bc24ad0
60,26.470,31.536,150,2019,Diesel,Automatik,/angebote/volkswagen-passat-variant-2-0-tdi-dsg-business-el-heck-fahr-diesel-grau-2bfc8d6c-40b9-4071-abab-8e0d959c7d0a
61,28.170,41.447,190,2019,Diesel,Automatik,/angebote/volkswagen-passat-variant-2-0-tdi-dsg-4-motion-comfortline-diesel-schwarz-b2f86844-41bf-431d-b2a8-a19de0efddb0
62,23.900,56.996,190,2017,Diesel,Automatik,/angebote/volkswagen-passat-variant-passat-2-0-tdi-dsg-variant-comfortline-navi-lrh-diesel-silber-dca48bae-2722-4705-8db6-13159f1f7952
63,28.490,19.600,156,2020,Elektro/Benzin,-,/angebote/volkswagen-passat-variant-1-4-tsi-plug-in-hybrid-dsg-gte-160kw-systemleist-elektro-benzin-grau-359bd89d-c19a-4120-a4b8-b9f602355dec
64,17.990,85.000,150,2017,Diesel,Schaltgetriebe,/angebote/volkswagen-passat-variant-comfortline-acc-navi-pdc-sitzheiz-diesel-silber-def16e10-990e-4d28-ad50-2594d2c5654b
65,27.170,32.874,150,2019,Benzin,Automatik,/angebote/volkswagen-passat-variant-1-5-tsi-dsg-comfortline-ahk-fahre-benzin-grau-7addcad7-6c34-4ff7-8a7a-01b5229c89e7
66,17.300,160.000,150,2019,Diesel,Automatik,/angebote/volkswagen-passat-variant-2-0-tdi-scr-diesel-grau-a39f7765-a264-49f4-a594-4d5c9a07bc5b
67,28.770,29.732,156,2020,Elektro/Benzin,-,/angebote/volkswagen-passat-variant-gte-1-4-tsi-dsg-17-fahrassist-na-elektro-benzin-grau-82834113-4745-4d53-b3e5-2b883482cda6
68,30.170,41.119,190,2019,Diesel,Automatik,/angebote/volkswagen-passat-variant-2-0-tdi-dsg-elegance-ahk-fahrassi-diesel-braun-2ffffe7b-7c8d-48e6-aff2-5dbb5f934d2e
69,23.870,45.122,150,2020,Benzin,Schaltgetriebe,/angebote/volkswagen-passat-variant-1-5-tsi-navi-led-kamera-acc-shz-p-benzin-grau-41755917-7b3f-4698-a7d9-d07ad55f0e64
70,26.870,13.007,150,2020,Benzin,Schaltgetriebe,/angebote/volkswagen-passat-variant-1-5-tsi-business-navi-led-acc-shz-benzin-weiss-33653e14-aa7b-4048-b060-d37bc779126f
71,16.800,162.000,150,2017,Diesel,Automatik,/angebote/volkswagen-passat-variant-passat-variant-2-0-tdi-dsg-bluemotion-technology-diesel-schwarz-2723edc8-8f31-4d64-8aa5-a31a9d85da00
72,13.900,181.200,150,2018,Diesel,Automatik,/angebote/volkswagen-passat-variant-comfortline-tdi-dsg-nur-fuer-gewerbe-und-export-diesel-silber-6b83c8fd-1ea7-4d2c-adf4-ac954b6ef55c
73,19.490,108.374,150,2020,Diesel,Automatik,/angebote/volkswagen-passat-variant-2-0-tdi-dsg-acc-cam-navi-led-diesel-grau-e298ba5f-95ed-4b3e-a85c-36e7db23bd29
74,22.950,48.500,150,2019,Benzin,Schaltgetriebe,/angebote/volkswagen-passat-variant-comfortline-bmt-start-stopp-acc-benzin-grau-7c12e96d-28f0-4004-9f45-5292ed94d344
75,25.870,31.746,150,2020,Diesel,Schaltgetriebe,/angebote/volkswagen-passat-variant-2-0-tdi-business-navi-led-kamera-diesel-silber-a7073de2-9398-4977-9da7-8986a0d16028
76,25.670,38.382,150,2020,Benzin,Schaltgetriebe,/angebote/volkswagen-passat-variant-1-5-tsi-navi-led-ahk-kamera-acc-s-benzin-grau-56afe06e-4e25-4f72-82d6-d76112dd9b1b
77,19.990,132.025,150,2019,Diesel,Automatik,/angebote/volkswagen-passat-variant-comfortline-2-0-tdi-dsg-acc-spurh-diesel-silber-c0e9fe4b-c0ae-4117-aea2-7ee1a1ccd150
78,24.970,57.447,150,2019,Diesel,Automatik,/angebote/volkswagen-passat-variant-2-0-tdi-dsg-business-navi-led-ahk-diesel-grau-42464053-4524-4f02-a6a0-683cff0952ac
79,26.470,54.815,190,2019,Benzin,Automatik,/angebote/volkswagen-passat-variant-2-0-tsi-dsg-business-navi-led-kam-benzin-schwarz-f8421ba6-f9fb-4a40-b3a6-987fd7420d26
80,28.870,23.149,156,2020,Elektro/Benzin,-,/angebote/volkswagen-passat-variant-gte-1-4-tsi-dsg-fahrassist-navi-l-elektro-benzin-weiss-82aa0345-0cbf-450d-aba4-ade6c13d16e5
81,20.990,115.900,190,2018,Diesel,Automatik,/angebote/volkswagen-passat-variant-2-0-tdi-highline-business-acc-led-diesel-grau-9068b675-7d33-448c-8c28-f075b819dea2
82,25.790,84.896,190,2019,Diesel,Automatik,/angebote/volkswagen-passat-variant-2-0-tdi-dsg-highline-navi-led-diesel-grau-ee3b6de9-8a4c-49b8-b633-0d9b5aa6c164
83,17.990,89.252,150,2017,Benzin,Schaltgetriebe,/angebote/volkswagen-passat-variant-passat-var-1-4-tsi-comfortline-navi-acc-s-heft-benzin-silber-db388770-c3c6-46e0-a392-4e93c77865fd
84,31.820,32.476,150,2022,Diesel,Automatik,/angebote/volkswagen-passat-variant-business-2-0-tdi-dsg-acc-led-lm-diesel-grau-ce71035a-9a2d-427f-8464-4cdb0748065b
85,24.970,45.122,150,2020,Benzin,Schaltgetriebe,/angebote/volkswagen-passat-variant-1-5-tsi-navi-ahk-led-kamera-acc-s-benzin-grau-0f9ed765-48fb-4777-99df-54388434ca94
86,26.950,105.800,239,2018,Diesel,Automatik,/angebote/volkswagen-passat-variant-highline-2-0tdi-dcc-pano-8-fach-diesel-grau-c6d07545-26c2-48ea-b0c4-e9f54d7d8590
87,27.770,54.815,190,2019,Benzin,Automatik,/angebote/volkswagen-passat-variant-2-0-tsi-dsg-business-navi-led-ahk-benzin-schwarz-34ec8601-62a0-427d-95c7-f4aa534fbe0a
88,13.500,206.991,150,2017,Diesel,Schaltgetriebe,/angebote/volkswagen-passat-variant-comfortline-4motion-navi-pdc-shz-acc-auto-hold-diesel-silber-7f4cd5da-1259-485e-93ff-61a2be7f0fad
89,24.870,57.541,150,2019,Benzin,Automatik,/angebote/volkswagen-passat-variant-1-5-tsi-dsg-comfortline-navi-led-benzin-silber-c76058ea-ea60-4efa-8a7a-88b2f661fb29
90,15.990,137.925,150,2018,Diesel,Schaltgetriebe,/angebote/volkswagen-passat-variant-comfortline-2-0-tdi-acc-massage-diesel-grau-6628eeed-387d-401d-b241-8cc851cee6ac
91,21.570,49.472,150,2019,Diesel,Schaltgetriebe,/angebote/volkswagen-passat-variant-2-0-tdi-comfortline-navi-led-kame-diesel-schwarz-42e451af-101a-496b-af79-89d75e105feb
92,19.900,147.100,190,2019,Diesel,Automatik,/angebote/volkswagen-passat-variant-comfortline-2-0-tdi-business-el-heck-kamera-diesel-schwarz-0b289eef-1f2e-464a-8600-11bdc3be9493
93,20.500,75.700,150,2018,Diesel,Schaltgetriebe,/angebote/volkswagen-passat-variant-2-0-tdi-bluemotion-technology-comfortline-diesel-silber-049cdae2-9516-475c-b151-a9b5423bd680
94,28.990,48.342,190,2019,Diesel,Automatik,/angebote/volkswagen-passat-variant-passat-var-highl-4m-led-ahk-acc-navi-360cam-diesel-blau-bfdc6b49-4646-4799-a7d3-3605f0fd6847
95,25.770,48.422,150,2020,Benzin,Schaltgetriebe,/angebote/volkswagen-passat-variant-1-5-tsi-ahk-navi-led-kamera-acc-s-benzin-grau-95c09351-e9ef-4614-bb92-f157d9230f19
96,23.850,58.722,150,2020,Benzin,Automatik,/angebote/volkswagen-passat-variant-business-acc-ahk-led-navi-benzin-grau-f28c1eda-825f-45ab-bbf1-f4c4be4386cc
97,14.999,139.000,150,2016,Diesel,Schaltgetriebe,/angebote/volkswagen-passat-variant-passat-2-0-tdi-bmt-comfortline-navi-diesel-blau-f1697f12-9938-49ae-9ff2-ef64e51cd1d8
98,24.470,48.422,150,2020,Benzin,Schaltgetriebe,/angebote/volkswagen-passat-variant-1-5-tsi-navi-led-kamera-acc-shz-p-benzin-grau-ee553d23-e43a-4412-b329-6cd543bed91c
99,19.999,118.909,190,2017,Diesel,Schaltgetriebe,/angebote/volkswagen-passat-variant-com-ahk-navi-led-parkass-sthg-acc-diesel-silber-76cc491d-7cec-4c9c-b3aa-d23d6472842f
100,25.880,78.100,190,2019,Diesel,Automatik,/angebote/volkswagen-passat-variant-2-0-tdi-dsg-4motion-comfortline-diesel-schwarz-a316d485-04b7-4f84-b1e8-e997cf503df0
101,20.670,51.181,150,2019,Diesel,Schaltgetriebe,/angebote/volkswagen-passat-variant-2-0-tdi-comfortline-navi-kamera-b-diesel-braun-58447db5-ccad-45d0-89b1-f8a18698cdf3
102,18.999,115.868,190,2017,Diesel,Schaltgetriebe,/angebote/volkswagen-passat-variant-comf-navi-klima-vico-acc-tuev-neu-diesel-weiss-8ad1524a-f244-4497-88fd-9ef4f91e0083
103,25.770,24.688,150,2019,Diesel,Schaltgetriebe,/angebote/volkswagen-passat-variant-2-0-tdi-comfortline-navi-kamera-a-diesel-silber-eef35fc1-93bf-46fa-a713-a28de231f4e5
104,18.550,133.385,190,2016,Diesel,Automatik,/angebote/volkswagen-passat-variant-passat-var-2-0tdi-dsg-highline-navi-led-pano-ahk-diesel-braun-7e4a4e8d-34c6-4ec5-9c73-9448d690d03b
105,13.700,195.600,150,2019,Diesel,Automatik,/angebote/volkswagen-passat-variant-tdi-dsg-ahk-nur-fuer-gewerbe-und-export-diesel-schwarz-e771983f-2765-479f-aae2-a7a8743991ab
106,19.990,124.473,150,2019,Diesel,Schaltgetriebe,/angebote/volkswagen-passat-variant-2-0-tdi-bmt-comfortline-acc-led-diesel-blau-58a1e4eb-07c0-43b8-a0e0-9eef1778a4f4
107,21.490,89.686,179,2018,Benzin,Automatik,/angebote/volkswagen-passat-variant-comfortline-led-navi-massages-benzin-schwarz-c598c6b9-80d6-49ca-8914-c30e427b4ab1
108,23.820,50.000,150,2019,Diesel,Automatik,/angebote/volkswagen-passat-variant-2-0-tdi-business-1-ha-led-acc-navi-ahk-lm-led-diesel-silber-f218a710-0464-4655-bf0a-dfea74c6e8da
109,27.870,54.036,150,2020,Diesel,Automatik,/angebote/volkswagen-passat-variant-2-0-tdi-dsg-business-r-line-navi-diesel-blau-5ae37c10-245c-403a-ae43-34155f3219d5
110,23.970,67.246,190,2018,Diesel,Automatik,/angebote/volkswagen-passat-variant-2-0-tdi-dsg-4-motion-highline-17-diesel-grau-2ffcb2a3-d4bc-4d56-8525-fc713d363224
111,26.970,24.688,150,2019,Diesel,Schaltgetriebe,/angebote/volkswagen-passat-variant-2-0-tdi-comfortline-navi-ahk-kame-diesel-silber-ef224236-d97b-443a-b64e-de4f1d646441
112,28.490,33.100,156,2021,Elektro/Benzin,-,/angebote/volkswagen-passat-variant-1-4-tsi-plug-in-hybrid-dsg-gte-160kw-systemleist-elektro-benzin-rot-c9ac2e70-e28b-44cb-97c0-eb4e377b81b1
